word,workerID,hitID,status,score,senseID,remarks
game_plan_1,participant38,1RATDI44FGARB4UDE8S77Z99DAYFNH,accepted,3,1,
game_plan_1,participant170,1NU1Y45D22QSURZCQQPEULSPUYHICY,accepted,5,2,
game_plan_1,participant185,18TTRWHMWUOHYPRCA5JMAKFHFWY3Q3,accepted,5,2,A competition for fun or as a pastime. Not animals hunted for their flesh. 
game_plan_1,participant115,16NO78QDCYPTUHLY2M4HIM2585KA06,accepted,1,1,
game_plan_1,participant151,10WJDOJJBW5VKHVSMOK1YJFD3BMGTS,accepted,5,2,
game_plan_1,participant262,1B0NE735KX3DAZJ8HT4SSTKIA1WUSS,accepted,2,1,
game_plan_1,participant141,1U1RT9EW43PNMOH4DSFOV5EWCVPX9D,accepted,0,1,
game_plan_1,participant69,1118N9SB0ZX5XU0HMI73RCK8XRFIYW,accepted,0,1,
game_plan_1,participant107,18O2QUYHWVX1AYTVUFPSTF706LVVQ6,accepted,0,1,It's not about an actual game.
game_plan_1,participant245,16WZWB8PMCHUKS7IBTMRM1KHB86CLD,accepted,5,2,
game_plan_1,participant3,12O6XHANXOD7SLIS376ZXZL2KQUZL1,accepted,5,2,
game_plan_1,participant207,1BHCGTTHW4YET1PT2NDAFPMOCQI4SU,accepted,1,1,
game_plan_1,participant125,1TVNKCFJK75OT05CH7KJKDGEGCMIV1,accepted,0,1,
game_plan_1,participant256,16W02Q59N8CQL0XY79EAG6BFAGO3GM,accepted,5,2,
game_plan_1,participant142,1X7S5H3TKOZEXYDH476S8NYN7CHOA0,accepted,5,2,
game_plan_1,participant96,1RSJZQ1Q75ONUNZJVBBLR6WJRP8KQY,accepted,2,1,
game_plan_1,participant28,1BUABRYEFF2BBFN0VJSX8V0F82I70R,accepted,5,2,
game_plan_1,participant17,1QLPJSJFXQMV68GSGU675JMH9CRYTY,accepted,4,2,
game_plan_1,participant172,1A9FV5BR66OEDDEWVSRILFKH1463O4,accepted,3,1,
game_plan_1,participant46,10I707G8AMGTHPYVQZHC6XMG63WYE2,accepted,5,2,
game_plan_1,participant175,1GGQBTWYVSGFC2CVEQ3NW12TEFMS83,accepted,0,1,
game_plan_1,participant12,1PV9FT5ES1ROX5USBP2YK1FZG28HVE,accepted,2,1,
game_plan_1,participant108,1R7LE3S9QJVHG991A69GKKHDP9Q4PZ,accepted,2,1,
game_plan_1,participant56,1LUY4AHRMDJUG5SU3HA9NOBJ2MPDPR,accepted,2,1,
game_plan_1,participant5,16CUNEH5RWTZ8B6UZCLTT6T42ZSPE0,accepted,5,2,
game_plan_1,participant171,1IEZJPI7B5MD4OHT5NIRQFQ0CRR3CD,accepted,0,1,
game_plan_1,participant202,1IQ13I4GJCZ7DVUE6SQSR5KF5UAP22,accepted,4,2,
game_plan_1,participant191,109MIKRI5COWOB9H7QD0ABMJHW350Q,rejected,5,1,
game_plan_1,participant94,1790TQY0NNA7JRSMDDWKQM6W75FPJ8,rejected,5,2,Examples 4 and 5 meet criteria for definition 2 which I have taken as literal.Examples 1 & 2 meet definition 1 and example 3 is not relevant so there isn't really a majority for this one.
game_plan_1,participant159,1Y1ZGL5C4708MJYL9LH0TNNVFKG7G5,accepted,3,2,
head_teacher_2,participant142,10NJIFKLU15UBXJJK50RSDWIBO41G5,accepted,5,,
head_teacher_2,participant185,1ZVT5PTDZ09E60EK2UQF3QS1ZL458J,accepted,5,,
head_teacher_2,participant112,1N86HEA58GQOP2JI88AE6M7P7DVCJT,accepted,4,,
head_teacher_2,participant115,1EYU7GLL9QNLJVU7GTKKNN3T3IUXV5,accepted,5,,
head_teacher_2,participant262,1H517448K5QLTM9D27D7UKK98NUFMT,accepted,5,,
head_teacher_2,participant141,1E70YIX3WMUR2MVW9FTHJCWATUW56N,accepted,4,,
head_teacher_2,participant69,18FJJ3WRP7QEGOQNINPW7GTPWPM9EO,accepted,5,,
head_teacher_2,participant28,10SJQ626R8253DB33FJSXHX1OIPMI0,accepted,5,,
head_teacher_2,participant107,1MTPM71SEC9HAQ6CNK8MFAPMBNT3R7,accepted,5,,The head teacher is a teacher.
head_teacher_2,participant41,1H95HE8SU04DJIKB1ST5Q8I9AYD4EU,accepted,1,,Head teachers once were teachers usually operating in an administrative capacity.
head_teacher_2,participant245,1T853ZVVHHOK9BM3GYJH211JBMFKOA,accepted,5,,
head_teacher_2,participant3,1G5GG8M92OL9KM76CQTJJ1M7CJFBIU,accepted,5,,
head_teacher_2,participant166,1SL3RW5I058F7PQKQ7Y2499Q56KGOS,accepted,5,,none
head_teacher_2,participant256,1USCYLBRJMCGUMR39XN6TZACO4JUNG,accepted,5,,
head_teacher_2,participant21,1GAAK31MNFK352VK8Q14NIS8G33PPO,accepted,5,,
head_teacher_2,participant134,15GKFVORAMOGVGVT34HS6CSTAPSB89,accepted,4,,
head_teacher_2,participant74,1H5ZUQOM9Z6MMFTWTRZIENZWUI8H7P,accepted,5,,
head_teacher_2,participant96,16XXR1SXUD8BP0LJ9YG7AKLMUXHHN4,accepted,5,,
head_teacher_2,participant15,17J2ETVM4KSVNMTHX0ZPEY38HY8K3B,accepted,5,,
head_teacher_2,participant227,1C9EMXJE2OOXHEMU0VWK2PTIBK1NM6,accepted,1,,
head_teacher_2,participant172,13D07VUZL8JKO5TG13WFU7N6QNJR5T,accepted,4,,
head_teacher_2,participant244,139VIF0H3TJWPKTTGSWKKHS2CP8S5O,accepted,5,,
head_teacher_2,participant170,1CYDQ7GL6IT45HRU0UB2OE1MVSTAHS,accepted,5,,
head_teacher_2,participant131,12CM37711IUQ8J9JZA49EGI66M71W2,accepted,5,,
head_teacher_2,participant56,1O4WK76B392LK2JJTQOPYINI60XOP0,accepted,5,,
head_teacher_2,participant17,11QNTABVO5C9ADTDH08Y12GTDCQD88,accepted,5,,
head_teacher_2,participant5,1598W0IWEKWT166GY58HWRLFE4P1AE,accepted,5,,
head_teacher_2,participant202,1RHCQKBL7MEC174BOPGPXI2KMG76CW,accepted,5,,
head_teacher_2,participant191,1APUVSPVYW9CROKRTLG7S62K5DUT74,rejected,0,,
head_teacher_2,participant159,1UFQ830KO5WC4XLX5XRKZIAQXM2U5F,accepted,3,,
search_engine_1,participant244,1NAPNPKLIAYYOYRO1JZXRB3QQ2PD2B,accepted,5,,
search_engine_1,participant170,15GKFVORAMOGVGVT34HS6CST9HA8B7,accepted,5,,
search_engine_1,participant28,1WAKWOI2DAZ78A0QK393XUYI9UAUDE,accepted,5,,
search_engine_1,participant262,1V7QAPWV0C7APJV32MIBC6NVWHIMVO,accepted,5,,
search_engine_1,participant115,18TTRWHMWUOHYPRCA5JMAKFHFZP3Q0,accepted,4,,
search_engine_1,participant141,1CBEXM44OQEYG25P45ZYRWB71MN1TX,accepted,5,,
search_engine_1,participant151,11B8FP8Q4Z7VFCWGCUH5JWPX8UGZBA,accepted,5,,
search_engine_1,participant125,191RXE5QTGR1CUUX1Z7U63YDM6VWHD,accepted,5,,
search_engine_1,participant18,1LVQDA88GRK2T80Y21JT0RKGCUNXM3,accepted,5,,
search_engine_1,participant143,16TVZAGCB9GAXPXKVWX7551Q7AML11,accepted,0,,
search_engine_1,participant107,1A9FV5BR66OEDDEWVSRILFKH00FO3P,accepted,5,,It's a program you use to perform searches.
search_engine_1,participant185,1NRKZGNCJ13QIO9Z9E99SZW64DC8IA,accepted,5,,
search_engine_1,participant101,1MTPM71SEC9HAQ6CNK8MFAPMBN53RJ,accepted,5,,
search_engine_1,participant245,1CXLIJIV4HWQJ1DI2AHWCT86WFILVH,accepted,5,,
search_engine_1,participant129,1YRF8R19HDJVTH4L1YVIH1EY1NGLOD,accepted,5,,
search_engine_1,participant134,1IHJ6L3LITNVG5XXX5RBBUTOUUGMB7,accepted,4,,
search_engine_1,participant96,1P5E86LW1LBPW1A20X6LH6VNI0UW5T,accepted,5,,
search_engine_1,participant227,1L5DZ9YR15KMIA4GZ9H3EZ0BUWCI7A,accepted,5,,
search_engine_1,participant172,1CWEGB3J22M1M9MFXFMB4WDR9062Y4,accepted,5,,
search_engine_1,participant46,1P00GVOJS0I4LWS9RFWS16NGPITH3V,accepted,5,,
search_engine_1,participant208,1598W0IWEKWT166GY58HWRLFE3R1AE,accepted,5,,
search_engine_1,participant130,1N6YFDX4566045F6FLCCBVNUNZGX6C,accepted,5,,
search_engine_1,participant221,1D152XFVLM518P5H7HPF6FZSNO9WIG,accepted,4,,
search_engine_1,participant12,15OJFPYJ5JLP4A5GKHYEU9U3P5U6YB,accepted,5,,
search_engine_1,participant56,15H33WXSAF5SA351EKFZKYQSPFQ47Y,accepted,5,,
search_engine_1,participant202,1BIPGB3K7R3PB9KVL9M0KK0CCM4A3C,accepted,4,,
search_engine_1,participant217,1SPKY3UH724L1CDRR4FCHF0CD7PGF6,accepted,4,,
search_engine_1,participant191,1JRJWK3VZTB8BTEU4BI9DD8JRX01H6,accepted,4,,
search_engine_1,participant95,1RTXOS1Y0RW0QROCH98V1AVK69DA2C,accepted,5,,
search_engine_1,participant159,1U4C5MUBHVTCRJHJEA39SQU7L0XZ9X,rejected,3,,
